Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
Lastingpower,Lasting_Power,sword,Do [sword]<value> extra damage with each attack this turn.|,YES,NO,NO,NO,NO,,,,,,,var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~Lastingpower\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,target.hp -= getstatusself(~Lastingpower~); target.textparticle(~[red]-~+getstatusself(~Lastingpower~));,,
alternate_Blighted,Blighted?,vanish,[purple]Has 35% chance to deal 3 damage to you next turn on item use|[purple]Has 10% chance to stun you next turn on item use,NO,YES,NO,NO,NO,,,,,if(chance(10)){ jinx(~Blighted? Stun~[;]~Get stunned~[;]~Get stunned~[;]~inflict(\~Stun\~[;]%VAR%); sfx(\~_shock\~);~[;]self[;]self[;]1[;](7)); sfx(~_thinghappens~); } if(chance(35)){ jinx(~Blighted? Damage~[;]~Take [sword]%VAR%~[;]~Take [sword]%VAR%~[;]~pierceattack(%VAR%); sfxdamage(null[;]%VAR%);~[;]self[;]self[;]1[;](3)); sfx(~_thinghappens~); },,,,,,
alternate_Bleed,Bleed?,bleed,Take [red]1 [white]damage when reducing countdowns|Pierces shields,NO,YES,NO,NO,NO,,,,,,pierceattackself(1); sfx(~_poison~); sfxdamage(target[;] 1); self.textparticle(~[red]Bleeding out!~);,,,,,
alternate_regeneration,Regeneration?,grace,Next turn heal [grace]<value> health,YES,YES,NO,NO,NO,,,,,,,jinx(~Regeneration~[;]~Heal [grace]%VAR% health~[;]~Heal [grace]%VAR% health~[;]~attack(-%VAR%); sfx(\~_heal\~);~[;]self[;]self[;]1[;](getstatusself(~alternate_regeneration~))); sfx(~_thinghappens~);,,,,
Parry,Parry,nerfed,Next attack has status effects and damage reflected to the attacker|Removes 1 parry when attacked,YES,NO,NO,NO,NO,,if (self.getvar(~enemyturn~)) { jinx(~Parried Effect~[;]~Effect from [nerfed]Parry~[;]~Effect from [nerfed]Parry~[;]~inflict(\~~+inflicted_type+~\~[;]~+inflicted_value+~); sfx(\~_thinghappens\~);~[;]target[;]self[;]1[;]1); sfx(~_thinghappens~); },,self.resetvar(~enemyturn~);,,,self.setvar(~enemyturn~[;] true);,,,if (self.getvar(~enemyturn~)) { if(dmg > 0) { attack(dmg[;]dmgtype); } } var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~Parry\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,
Fan,Fan,fan,Can't be burned when having this effect|Fire damage is also cut in half|Decreases by 1 each turn,YES,NO,NO,NO,NO,,,removestatusself(FIRE[;] ALL);,var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~Fan\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,if(dmgtype == FIRE) { attackself(-dmg / 2); },
Karen Rule,Karen_Rule,dynamo,Whoopsie something mustve not been plugged in right :D,NO,NO,NO,YES,NO,,,if(self.spaceleft() >= 2){ giveequipment(rand(getequipmentlist(null[;][][;][~alternateversion~[;]~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~]))[;] -1); },,,,,,,,
Tree,Tree,thorns,SHHHHHHHHHHHHHHHHHHHH|Your not seeing this,NO,NO,NO,YES,NO,,,,,,,,,,if(self.spaceleft() >= 1){ giveequipment([~Ornament~][;]true[;]false); },
Song,Song,song,Show 'em your power thru the form of|SOOOOOOONNNNNGGGGG,YES,NO,NO,NO,NO,,,,,,,var s = new elements.Skill(~Against all odds_old~); s.script=~removestatusself(\~Song\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move(); ,,,,
Too Sweet,Too_Sweet,heart,All damage dealt this turn is cut by half|Share all status effects with enemy|When either happens removes 1 status,YES,YES,NO,NO,NO,,jinx(~Parried Effect~[;]~Effect from [nerfed]Parry~[;]~Effect from [nerfed]Parry~[;]~inflict(\~~+inflicted_type+~\~[;]~+inflicted_value+~); sfx(\~_thinghappens\~);~[;]target[;]self[;]1[;]1); sfx(~_thinghappens~); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~Too Sweet\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,,attack(-dmg / 2); var s = new elements.Skill(~Against all odds_old~); s.script=~removestatusself(\~Too Sweet\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,
Sting,Sting,sting,Damage to target is increased by 50%|Every time attacked loses 1 of this effect,YES,NO,NO,NO,NO,,,,,,,,,,attackself(dmg / 2); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~Sting\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,
Whelm,shouldntsee,blind,,NO,YES,NO,YES,NO,,,,Gadget.changegadget(self[;] ~Whelm (0 Uses)~[;] ~Whelm (2 Uses)~);,,,,,,,
moderatewhelm,Moderatewhelmed,sword,Moderatewhelm deals <value> more damage.,YES,NO,NO,NO,NO,,,,,,,,,,,
ncr_lightswitch1,Light_Switch_1,dice,Roll an extra 1 next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
ncr_lightswitch2,Light_Switch_2,dice,Roll an extra 2 next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
ncr_lightswitch3,Light_Switch_3,dice,Roll an extra 3 next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
ncr_lightswitch4,Light_Switch_4,dice,Roll an extra 4 next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
ncr_lightswitch5,Light_Switch_5,dice,Roll an extra 5 next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
ncr_lightswitch6,Light_Switch_6,dice,Roll an extra 6 next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
Demise,Timely_Demise,skipturn,While you have this status[;] lose [heart]1 health when using any equipment.|Status amount decreases by 1 per turn.,YES,NO,NO,NO,NO,,,,,pierceattackself(1); sfxdamage(self|1);,,var s = new elements.Skill(~Against all odds_old~); s.script=~removestatusself(\~Demise\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0.01[;]null); tw.onComplete(s.execute[;][self[;]target]); tw.move();,,,,
winterwitch,Invisible,,Take 1 damage every 2 seconds,NO,NO,NO,YES,NO,,,,self.resetvar(~winterwitchact~); var s = new elements.Skill(~Against all odds_old~); s.script = ~if(self.dicepool.length == 0 # self.doendturnnow # self.hp == 0) { self.getvar(\~winterwitchact\~).stop(); } else { pierceattackself(1); sfxdamage(self[;] 1); }~; var act = new motion.actuators.SimpleActuator(null[;] 2[;] null); act._repeat = -1; self.setvar(~winterwitchact~[;] act); act.onRepeat(s.execute[;] [self[;]target]); act.move();,,,if(self.varexists(~winterwitchact~)) { self.getvar(~winterwitchact~).stop(); self.resetvar(~winterwitchact~); },if(self.varexists(~winterwitchact~)) { self.getvar(~winterwitchact~).stop(); self.resetvar(~winterwitchact~); },,,
threshold,Threshold,threshold,You can't do more than <value> moves this turn.,YES,YES,NO,NO,NO,Rules.movelimit = status.value;,,,,,,Rules.movelimit = 0;,Rules.movelimit = 0;,,,
cursesuppressor,Curse Suppressor,curse,Odds of [curse]Curse triggering equal to 25%|this turn,NO,YES,YES,NO,NO,Rules.curseodds = 25;,,,,,,Rules.curseodds = 50;,,,,
cursebooster,Curse Booster,curse,Odds of [curse]Curse triggering equal to 100%|this turn,NO,YES,NO,NO,NO,,,Rules.curseodds = 100;,,,,Rules.curseodds = 50;,,,,
heater,Heater,weaken,Weaken all equipment with [ice] symbol.,NO,YES,NO,NO,NO,,,,var eqtoweaken = []; for (eq in self.equipment){ if(eq.availablethisturn && eq.fulldescription.indexOf(~[ice]~) != -1 && !eq.hastag(~weakenavoid~) && !eq.hastag(~weakenimmune~)){ eqtoweaken.push(eq); } } for(eq in eqtoweaken) eq.animate(WEAKEN);,,,,,,,
heater+,Heater+,weaken,Weaken all [blue]cyan[] equipment.,NO,YES,NO,NO,NO,,,,var eqtoweaken = []; for (eq in self.equipment){ if(eq.availablethisturn && eq.equipmentcol == 8 && !eq.hastag(~weakenavoid~) && !eq.hastag(~weakenimmune~)){ eqtoweaken.push(eq); } } for(eq in eqtoweaken) eq.animate(WEAKEN);,,,,,,,
never6,Never_roll_6,dice,You can't roll 6 this fight.,NO,NO,NO,NO,NO,var dicerange = []; if(self.isplayer)  dicerange = Rules.actualplayerdicerange.copy(); else  dicerange = Rules.actualenemydicerange.copy(); if(dicerange.length == 0) { dicerange = [1[;]2[;]3[;]4[;]5[;]6]; } dicerange.remove(6); if(dicerange.length == 0) { dicerange = [1]; } if(self.isplayer)  Rules.playerdicerange(dicerange); else  Rules.enemydicerange(dicerange);,,,,,,,if(self.isplayer) { Rules.playerdicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); } else { Rules.enemydicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); },,,
never5,Never_roll_5,dice,You can't roll 5 this fight.,NO,NO,NO,NO,NO,var dicerange = []; if(self.isplayer)  dicerange = Rules.actualplayerdicerange.copy(); else  dicerange = Rules.actualenemydicerange.copy(); if(dicerange.length == 0) { dicerange = [1[;]2[;]3[;]4[;]5[;]6]; } dicerange.remove(5); if(dicerange.length == 0) { dicerange = [1]; } if(self.isplayer)  Rules.playerdicerange(dicerange); else  Rules.enemydicerange(dicerange);,,,,,,,if(self.isplayer) { Rules.playerdicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); } else { Rules.enemydicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); },,,
never4,Never_roll_4,dice,You can't roll 4 this fight.,NO,NO,NO,NO,NO,var dicerange = []; if(self.isplayer)  dicerange = Rules.actualplayerdicerange.copy(); else  dicerange = Rules.actualenemydicerange.copy(); if(dicerange.length == 0) { dicerange = [1[;]2[;]3[;]4[;]5[;]6]; } dicerange.remove(4); if(dicerange.length == 0) { dicerange = [1]; } if(self.isplayer)  Rules.playerdicerange(dicerange); else  Rules.enemydicerange(dicerange);,,,,,,,if(self.isplayer) { Rules.playerdicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); } else { Rules.enemydicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); },,,
never3,Never_roll_3,dice,You can't roll 3 this fight.,NO,NO,NO,NO,NO,var dicerange = []; if(self.isplayer)  dicerange = Rules.actualplayerdicerange.copy(); else  dicerange = Rules.actualenemydicerange.copy(); if(dicerange.length == 0) { dicerange = [1[;]2[;]3[;]4[;]5[;]6]; } dicerange.remove(3); if(dicerange.length == 0) { dicerange = [1]; } if(self.isplayer)  Rules.playerdicerange(dicerange); else  Rules.enemydicerange(dicerange);,,,,,,,if(self.isplayer) { Rules.playerdicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); } else { Rules.enemydicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); },,,
never2,Never_roll_2,dice,You can't roll 2 this fight.,NO,NO,NO,NO,NO,var dicerange = []; if(self.isplayer)  dicerange = Rules.actualplayerdicerange.copy(); else  dicerange = Rules.actualenemydicerange.copy(); if(dicerange.length == 0) { dicerange = [1[;]2[;]3[;]4[;]5[;]6]; } dicerange.remove(2); if(dicerange.length == 0) { dicerange = [1]; } if(self.isplayer)  Rules.playerdicerange(dicerange); else  Rules.enemydicerange(dicerange);,,,,,,,if(self.isplayer) { Rules.playerdicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); } else { Rules.enemydicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); },,,
never1,Never_roll_1,dice,You can't roll 1 this fight.,NO,NO,NO,NO,NO,var dicerange = []; if(self.isplayer)  dicerange = Rules.actualplayerdicerange.copy(); else  dicerange = Rules.actualenemydicerange.copy(); if(dicerange.length == 0) { dicerange = [1[;]2[;]3[;]4[;]5[;]6]; } dicerange.remove(1); if(dicerange.length == 0) { dicerange = [1]; } if(self.isplayer)  Rules.playerdicerange(dicerange); else  Rules.enemydicerange(dicerange);,,,,,,,if(self.isplayer) { Rules.playerdicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); } else { Rules.enemydicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6]); },,,
fireplace,Fireplace,heal,When you are hit by fire[;] it will heal you instead of damage this turn.,NO,YES,NO,NO,NO,self.innate.remove(~absorbfire~); self.innate.push(~absorbfire~);,,,,,,self.innate.remove(~absorbfire~);,self.innate.remove(~absorbfire~);,,,
instanttransform,instanttransform,potion,(text should not appear),NO,YES,NO,YES,NO,beartransform();,,,,,,,,,,
bearcurse,Bear's_Curse,curse,Curse yourself each turn,NO,NO,NO,NO,NO,beartransform();,,,inflictself(CURSE); sfx(~_curse~[;]~~[;]0.2);,,,,,,,
creativecrisis,Creative_Crisis,cog,You make no new gadgets after this fight.|Your current gadgets will become Broken Gadgets.,NO,NO,NO,NO,NO,,,,,,,,Rules.inventor_inspiration = false; var skillList = []; for(skill in self.getskillcard().skills) { skillList.push(skill.name); } for(skill in skillList) { Gadget.changegadget(self[;] skill[;]~Broken Gadget~); },,,
consumerism,Consumerism,cog,You make <value> additional gadget(s) after this fight.,YES,NO,NO,NO,NO,,,,,,,,,,,
creativecrisis+,creativecrisis+,cog,(text should not appear),NO,NO,NO,NO,NO,,,,,,,,Rules.inventor_inspiration = false;,,,
reversecpu,Garbage Collector,cog,Next roll reduces CPU instead of increasing it.,YES,YES,NO,NO,NO,,,,,,,,,,,
robotfreeze,Frozen,ice,Turns the highest dice rolled into a 1.,YES,YES,NO,NO,NO,,,,,,,,,,,
oddcpureduce,Odd CPU Reduce,cog,You shouldn't be seeing this.,NO,YES,NO,YES,NO,,,,,,,,,,,
commandment,Commandment,heal,(should not appear),NO,YES,NO,YES,NO,var forbiddendice = self.getvar(~forbiddendice~); status.scriptonshockrelease = ~for (d in self.dicepool) if (d.consumed && self.getvar(\~forbiddendice\~)[1].indexOf(d.basevalue) != -1) {removestatusself(\~Commandment\~); break;}~,,,,var dice = e.assigneddice; if (e.tempreuseableequipment.length != 0) for (f in e.tempreuseableequipment) {dice = dice.concat(f.assigneddice);} for (d in dice) if (d != null && self.getvar(~forbiddendice~)[1].indexOf(d.basevalue) != -1) { removestatusself(~Commandment~); break; },if (self.getvar(~forbiddendice~)[1].indexOf(e.dicehistory[e.dicehistory.length-1].basevalue) != -1) removestatusself(~Commandment~);,if(target != null && target.hp > 0) { var s = new elements.Skill(~Against all odds_old~); s.script = self.getvar(~commandbonus~)[1]; s.execute(self[;]target); },,,,
grabbag,Grab_Bag,star,The items you currently have are from Grab Bag,NO,YES,NO,NO,NO,var s = new elements.Skill(~grabbag_internal~); s.execute(self[;]target);,,,,,,,,,,
morefluff,More_Fluff,dynamo,The items you currently have are from Jackeaa's More Fluff mod,NO,YES,NO,NO,NO,var s = new elements.Skill(~morefluff_internal~); s.execute(self[;]target);,,,,,,,,,,
rs,Reference_Stuff,grace,The items you have are from the Reference Stuff mod,NO,YES,NO,NO,NO,var s = new elements.Skill(~rs_internal~); s.execute(self[;]target);,,,,,,,,,,
fade,Fade,vanish,Duplicate dice are immediately destroyed. Disappears when triggered.,YES,YES,NO,NO,YES,,,,,,,,,,,
nothing,Nothing,nothing,Does absolutely nothing.,NO,YES,NO,NO,NO,,,,,,,,,,,
alternate_nothing,Nothing?,nothing,Doesn't do something.,NO,YES,NO,NO,NO,,,,,,,,,,,
Storm,Storm,graystorm,Do [sword]-<value> less damage with each attack this turn.|[purple]Has 35% chance to deal 3 damage to you next turn on item use|[purple]Has 10% chance to stun you next turn on item use,YES,YES,NO,NO,NO,,,,,if(chance(10)){ jinx(~Storm Stun~[;]~Get stunned~[;]~Get stunned~[;]~inflict(\~Stun\~[;]%VAR%); sfx(\~_shock\~);~[;]self[;]self[;]1[;](7)); sfx(~_thinghappens~); } if(chance(35)){ jinx(~Storm Damage~[;]~Take [sword]%VAR%~[;]~Take [sword]%VAR%~[;]~pierceattack(%VAR%); sfxdamage(null[;]%VAR%);~[;]self[;]self[;]1[;](3)); sfx(~_thinghappens~); },,,,target.hp += getstatusself(~Storm~); target.textparticle(~[red]-~-getstatusself(~Storm~));,,
redshift,Redshift,redshift,Shock all of your [red]red[] equipment.,NO,YES,NO,NO,YES,,,,runscript(~christmasspecial/redshift~[;][self]);,,,,,,,
endlesswinterfreeze,Endless Winter,endlesswinter,Gain [ice]<value> freeze each turn.,YES,NO,NO,NO,NO,inflictself(ICE); sfx(~_ice~);,,inflictself(ICE[;]status.value); sfx(~_ice~);,,,,,,,,
falseswipe,False_Swipe,recycle,(invisible - prevents enemy from dying to false swipe),YES,YES,YES,YES,NO,,,,,,,,,if(target.hp < status.value){ target.hp = status.value; } removestatusself(~falseswipe~[;]ALL);,,
losedice,-1_dice,dice6,Enemy has <value> less dice this turn,YES,YES,NO,NO,NO,,,self.extradice-=getstatusself(~losedice~);,,,,self.extradice+=getstatusself(~losedice~);,,,,
ncr_snap,Snap!,glove,Use a random equipment for free!|Applies immediately when inflicted[;] if possible[;]|or at the start of your turn.,YES,NO,NO,NO,NO,var snappableequipment = [for(eq in self.equipment) if(eq.onscreen() && eq.isready() && eq.skillcard == ~~ && eq.getslots().length > 0) eq]; var val = inflicted_value; var snapoccurred = false; if(snappableequipment.length > 0) shuffle(snappableequipment); while(val > 0) { if(snappableequipment.length == 0) break; runscript(~ncrmod/snap~|[snappableequipment.pop()|true|self|target]); val--; var tw = new motion.actuators.SimpleActuator(null|0.01|null); var s = new elements.Skill(~Against all odds_old~); s.script = ~  removestatusself(\~~ + status.type + ~\~);~; tw.onComplete(s.execute|[self|target]); tw.move(); snapoccurred = true; },,,var snappableequipment = [for(eq in self.equipment) if(eq.onscreen() && eq.isready() && eq.skillcard == ~~ && eq.getslots().length > 0) eq]; var val = status.value; var snapoccurred = false; if(snappableequipment.length > 0) shuffle(snappableequipment); while(val > 0) { if(snappableequipment.length == 0) break; runscript(~ncrmod/snap~|[snappableequipment.pop()|true|self|target]); val--; removestatusself(status.type); snapoccurred = true; } if(snapoccurred) sfx(~jester_snap~);,,,,,,,
ncr_error,Error,ncr_error,At the start of your turn[;] a random item errors out[;]|rendering it unusable for that turn.,YES,YES,NO,NO,YES,if(self.dicepool.length > 0) { var erroramt = inflicted_value; var erroreq = []; var optimalerroreq = []; if(self.equipment.length > 0) { for(eq in self.equipment) { if(eq.hastag(~errorimmune~) == false && eq.skillcard == ~~ && eq.isready()) { erroreq.push(eq); optimalerroreq.push(eq); /*don't avoid erroring shocked equipment if error inflicted midturn*/ } } while(erroramt > 0) { var pickedeq = null; if(optimalerroreq.length > 0) pickedeq = rand(optimalerroreq); else pickedeq = rand(erroreq); pickedeq.removedice(); roboterror(self[;][pickedeq]); optimalerroreq.remove(pickedeq); erroreq.remove(pickedeq); if(erroreq.length < 1) break; erroramt--; } if (self.layout == ~DECK~) { Deck.advance(0.8); } } },,,var erroramt = status.value; var erroreq = []; var optimalerroreq = []; if(self.equipment.length > 0) { for(eq in self.equipment) { if(eq.hastag(~errorimmune~) == false && eq.skillcard == ~~ && eq.isready()) { erroreq.push(eq); if(!eq.weakened && eq.shockedsetting == 0) optimalerroreq.push(eq); } } while(erroramt > 0) { var pickedeq = null; if(optimalerroreq.length > 0) pickedeq = rand(optimalerroreq); else pickedeq = rand(erroreq); pickedeq.removedice(); roboterror(self[;][pickedeq]); optimalerroreq.remove(pickedeq); erroreq.remove(pickedeq); if(erroreq.length < 1) break; erroramt--; } if (self.layout == ~DECK~) { Deck.advance(0.8); } },,,,,,,
ncr_error_all,Error_all,ncr_error,All of your items error out[;] rendering them unusable for this turn.,NO,YES,NO,NO,YES,if(self.dicepool.length > 0) { roboterror(self); self.roll_error = true; if (self.layout == ~DECK~) { Deck.advance(0.8); } },,,roboterror(self); if (self.layout == ~DECK~) { self.roll_error = true; Deck.advance(0.8); },,,,,,,
reversenexttarget,Swap_Next_Target,recycle,The next equipment you use will swap target.,YES,YES,NO,NO,NO,,,,,,,,,,,
mf_stun,Stun,stun,Random equipment is disabled for the turn.,YES,YES,NO,NO,YES,,,,var goodeq = []; for(eq in self.equipment){ if(eq.availablethisturn){ goodeq.push(eq); }; }; goodeq = shuffle(goodeq); var s = getstatusself(~mf_stun~); while(goodeq.length > 0 && s > 0){ s-=1; var r = goodeq.pop(); r.availablethisturn = false; r.unavailabledetails = [~Stunned~]; r.animate(~flashandshake~); }; sfx(~_shock~);,,,,,,,
batted,Battered,dice,Enemy caught the dice you batted!|They get <value> more dice next turn.,YES,YES,NO,NO,NO,,,,,,,,,,,
healaftercombat,Regeneration,heal,After combat[;] recover [heal]<value> health.|Doesn't trigger if you flee.,YES,NO,NO,NO,NO,,,,,,,,if(!flee){ attackself(-getstatusself(~healaftercombat~)); };,,,
watchburstbeam,WatchBurstBeam,dice,(should not appear),NO,YES,NO,YES,NO,self.setvar(~burstbeamdamage~[;]self.limitvalue);,,,,self.setvar(~burstbeamdamage~[;]self.limitvalue);,,,,,self.setvar(~burstbeamdamage~[;]self.limitvalue);,
all6,nunya,dice6,shhhh secwet,NO,NO,NO,YES,NO,,,,var c = 0; for (mydice in self.dicepool){ if (mydice.available()){ mydice.animatereroll(6[;] self.screenposition()[;] c * 0.05); c++; } } sfx(~entercombat_ladyluck_phase2~); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~all6\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,,
mf_healnextturn,Heal_Next_Turn,heart,At the start of next turn[;] recover [heart]<value> health.,YES,NO,YES,NO,NO,,,,,,,,,,,attackself(-status.value); sfx(~_heal~);
